CODE,ZONE,ATOLL,ISLAND,SCHOOL NAME - CODE
GS55,South Central,Th,Kinbidhoo,Kinbidhoo School - GS55
GS63,South Central,Th,Veymandoo,Veymandoo School - GS63
GS64,South Central,Th,Hirilandhoo,Hirilandhoo School - GS64
GS65,South Central,Th,Vilufushi,Vilufushee School - GS65
GS176,South Central,Th,Burunee,Burunee School - GS176
GS177,South Central,Th,Kandoodhoo,Kandoodhoo School - GS177
GS179,South Central,Th,Vandhoo,Vandhoo School - GS179
GS180,South Central,Th,Madifushi,Madifushi School - GS180
GS178,South Central,Th,Omadhoo,Omadhoo School - GS178
GS182,South Central,Th,Gaadhiffushi,Gaadhiffushi School - GS182
GS17,South Central,L,Fonadhoo,L. Atoll Education Centre - GS17
GS28,South Central,L,Maabaidhoo,L. Atoll School - GS28
GS49,South Central,L,Maavah,Maavashu School - GS49
GS52,South Central,L,Gan,Hamad Bin Khaleefa Al Saanee - GS52
GS183,South Central,L,Hithadhoo,Hithadhoo School - GS183
GS184,South Central,L,Kunahandhoo,Kunahandhoo School - GS184
GS186,South Central,L,Isdhoo,Isdhoo School - GS186
GS187,South Central,L,Isdhoo-Kalaidhoo,Isdhookalaidhoo School - GS187
GS188,South Central,L,Mundoo,Mundoo School - GS188
GS189,South Central,L,Maamendhoo,Maamendhoo School - GS189
GS190,South Central,L,Dhanbidhoo,Dhanbidhoo School - GS190
GS191,South Central,L,Gan / Mukurimagu,Mukurimagu School - GS191
GS215,South Central,L,Gan,Ihadhdhoo School - GS215
GS05,Southern,GA,Villingili,G.A. Atoll Education Centre - GS05
GS29,Southern,GA,Kolamaafushi,G.A. Atoll School - GS29
GS195,Southern,GA,Nilandhoo,Nilandhoo School - GS195
GS196,Southern,GA,Konday,Konday School - GS196
GS197,Southern,GA,Kanduhulhudhoo,Kanduhulhudhoo School - GS197
GS198,Southern,GA,Maamendhoo,Maamendhoo School - GS198
GS199,Southern,GA,Dhaandhoo,Dhaandhoo School - GS199
GS200,Southern,GA,Dhevvadhoo,Sulthan Mohamed School - GS200
GS202,Southern,GA,Gemanafushi,Gemanafushi School - GS202
GS26,Southern,GD,Thinadhoo,G.Dh Atoll Education Centre - GS26
GS30,Southern,GD,Gadhdhoo,G.Dh Atoll School - GS30
GS73,Southern,GD,Thinadhoo,Aboobakuru School - GS73
GS203,Southern,GD,Hoadedhoo,Hoadedhdhoo School - GS203
GS204,Southern,GD,Nadella,Nadella School - GS204
GS205,Southern,GD,Rathafandhoo,Rathafandhoo School - GS205
GS206,Southern,GD,Vaadhoo,Vaadhoo Jamaluddeen School - GS206
GS207,Southern,GD,Madaveli,Madaveli School - GS207
GS208,Southern,GD,Fares Maathodaa,Huvadhoo School - GS208
GS209,Southern,GD,Fiyoari,Fiyoari School - GS209
GS216,Southern,GD,Thinadhoo,Thinadhoo School - GS216
GS13,Southern,Gn,Fuah Mulah,Gn. Atoll Education Centre - GS13
GS44,Southern,Gn,Fuah Mulah,Fuvahmulaku School - GS44
GS48,Southern,Gn,Fuah Mulah,Mohamed Jamaluddin School - GS48
GS74,Southern,Gn,Fuah Mulah,Hafiz Ahmed School - GS74
GS43,Southern,Sn,Hithadhoo,Sharafuddin School - GS43
GS03,Southern,Sn,Hithadhoo,Hithadhoo School - GS03
GS211,Southern,Sn,Hithadhoo,Nooranee School - GS211
GS58,Southern,Sn,Hithadhoo,Addu High School - GS58
GS62,Southern,Sn,Maradhoo,Maradhoo School - GS62
GS41,Southern,Sn,Maradhoo,Irushaadhiyya School - GS41
GS45,Southern,Sn,Feydhoo,Feydhoo School - GS45
GS16,Southern,Sn,Meedhoo,S. Atoll School - GS16
ISK,Male,Male city,Male,Iskandharu School - IS
JS,Male,Male city,Male,Jamaluddin School - JS
KS,Male,Male city,Male,Kalaafaanu School - KS
TS,Male,Male city,Male,Thaajuddeen school -TS
IM,Male,Male city,Male,Imaduddin School - IM
AS,Male,Male city,Male,Aminiya School - AS
MS,Male,Male city,Male,Majeediyya School - MS
DS,Male,Male city,Male,Dharumavantha School - DS
HS,Male,Male city,Male,Hiriyaa School - HS
MUH,Male,Male city,Male,Muhyiddin School - MUH
GS,Male,Male city,Male,Ghaazee School - GS
CHSE,Male,Male city,Male,Centre for Higher Secondary Education - CHSE
MAI,Male,Male city,Male,Al Madharusathul Arabiyyathul Islaamiyya - MAI
RS,Male,Male city,Male,Rehendhi School - RS
HUR,Male,Male city,Male,Huravee School - HUR
IZS,Male,Male city,Male,I'zzudhdheen School - IZS
MQP,Male,Male city,Hulhumale',Mohamed Qasim Pre-School
KPS,Male,Male city,Hulhumale',Kaamil Didi Primary School
1.08,North,HA,Dhidhdhoo,Ghaazee Mohamed Pre-School
,North,HA,Filladhoo,Filladhoo Councils Pre-School
,North,Ha,Thakandhoo,Thakandhoo Rayyithunge pre-school
1.26,North,HA,Hoarafushi,Adam Saleem Han'dhaanee Pre-School
1.03,North,HA,Thuraakunu,Hussain Adam Handhaanee Pre-School
1.2,North,HA,Ihavandhoo,Wafa Pre-School
1.21,North,HA,Kelaa,Lily Pre-School
1.12,North,HA,Maarandhoo,Kaleyfaanu Pre-School
1.29,North,HA,Molhadhoo,Molhadhoo Pre-School
1.3,North,HA,Muraidhoo,Muraidhoo Pre-School
1.28,North,HA,Vashafaru,Vashafaru Pre-School
,North,HA,Baarashu,Baarashu Pre-School
2.24,North,HDH,Hanimaadhoo,Saadha Pre-School
2.25,North,HDH,Kumundhoo,Tharaha Pre-School
2.32,North,HDH,Kurinbee,Kurimagu Pre-School
2.21,North,HDH,Makunudhoo,Unmeedhee Pre-School
2.27,North,HDH,Naivaadhoo,Naivaadhoo Pre-School
2.36,North,HDH,Nellaidhoo,Nellaidhoo Pre-School
2.3,North,HDH,Neykurendhoo,Makthaban Noor Pre-School
2.31,North,HDH,Nolhivaram,Nolhivaram Pre-School
,North,SH,Feydhoo,Feydhoo Pre-School
,North,SH,Noomara,Noomara Pre-School
,North,SH,Lhaimagu,Lhaimagu Pre-School
3.24,North,SH,Bileffahi,Bilehfahi Pre-School
3.19,North,SH,Feevah,Feevah Pre-School
3.29,North,SH,Foakaidhoo,Foakaidhoo Pre-School
3.25,North,SH,Funadhoo,Funadhoo Pre-School
3.28,North,SH,Goidhoo,Sh. Goidhoo Pre-School
3.17,North,SH,Komandoo,Komandhoo Pre-School
3.26,North,SH,Maaungoodhoo,Maaun'goodhoo Pre-School
3.3,North,SH,Maroshi,maroshi Pre-School
,North,SH,Kandhitheemu,Community Pre-School
4.37,North Central,N,velidhoo,Hinz Pre-School
4.24,North Central,N,Henbadhoo,Hen'badhoo Pre-School
4.16,North Central,N,Holhudhoo,Holhudhoo Pre-School
4.17,North Central,N,Kendhikulhudhoo,Skid Pre-School
4.28,North Central,N,Kendhikulhudhoo,Ahmadhee Pre-School
,North Central,N,Kendhikulhudhoo,Creative learners
4.32,North Central,N,Landhoo,Landhoo Pre-School
4.35,North Central,N,Lhohee,Lhohi Pre-School
4.21,North Central,N,Maafaru,Maafaru Pre-School
4.33,North Central,N,Maalhendhoo,Maalhendhoo Pre-School
,North Central,N,Manadhoo,Manadhoo Pre-School
5.21,North Central,R,Alifushi,Alifushee Pre-School
5.28,North Central,R,Hulhudhuffaaru,Huzoor Pre-School
5.36,North Central,R,Hulhudhuffaaru,IQRA HULHUDHUFFARU PRE-SCHOOL SILVER KIDS
5.27,North Central,R,Inguraidhoo,Inguraidhoo Pre-School
5.29,North Central,R,Innamaadhoo,Iyaar Pre-School
5.24,North Central,R,Maakurathu,Maakurathu Pre-School
5.16,North Central,R,Maduvvaree,M.E.C Pre-School
5.17,North Central,R,Meedhoo,Meedhoo Pre-School
5.25,North Central,R,Rasgetheemu,Koimalaa Pre-School
5.34,North Central,R,Rasmaadhoo,Rasmaadhoo Pre-School
5.22,North Central,R,Ungoofaaru,Saif Pre-School
6.26,North Central,B,Dharavandhoo,Iqra Dharavandhoo Pre-School
6.13,North Central,B,Eydhafushi,M.A.M PRESCHOOL ( BAHIYYA CAMPUS)
6.24,North Central,B,Goidhoo-1,Goidhoo Pre-School
6.2,North Central,B,Hithaadhoo,Hithaadhoo Pre-School
6.22,North Central,B,Kamadhoo,Roots Pre-School
6.17,North Central,B,Kendhoo,Aisiru Pre-School
6.25,North Central,B,Kudarikilu,Kudarikilu Pre-School
9.21,North Central,AA,Maalhos,Maalhohu Rayyithunge Pre-School
6.23,North Central,B,Maalhos-1,Maalhohu Pre-School
6.16,North Central,B,Thulhaadhoo,Thulhaadhoo Pre-School
6.18,North Central,B,Thulhaadhoo,Thuthukudhinge Pre-School
7.08,Central,LH,Kurendhoo,Habashee Pre-School
7.15,Central,LH,Naifaru,Iqra International Naifaru Pre-School
8.22,Central,K,Dhiffushi,Fikuree Pre-School
8.23,Central,K,Himmafushi,Himmafushi Pre-School
8.2,Central,K,Kaashidhoo,Amalee Pre-School
8.21,Central,K,Kaashidhoo,Salaahiyya Pre-School
8.15,Central,K,Maafushi,Maafushi Pre-School
8.14,Central,K,Thulusdhoo,Thulushdhoo Pre-School
9.24,Central,AA,Himandhoo,Himandhoo Community Pre-School
