centre_No,centre_name_eng,cand_no,Sex,ccode,subject,grade
MV010,AMINIYA SCHOOL,1,F,MV0100001,Dhivehi,U
MV010,AMINIYA SCHOOL,1,F,MV0100001,Islam,U
MV010,AMINIYA SCHOOL,3,M,MV0100003,Islam,U
MV010,AMINIYA SCHOOL,4,M,MV0100004,Dhivehi,B
MV010,AMINIYA SCHOOL,4,M,MV0100004,Islam,C
MV010,AMINIYA SCHOOL,5,M,MV0100005,Dhivehi,E
MV010,AMINIYA SCHOOL,5,M,MV0100005,Islam,E
MV010,AMINIYA SCHOOL,6,F,MV0100006,Islam,D
MV010,AMINIYA SCHOOL,7,F,MV0100007,Dhivehi,B
MV010,AMINIYA SCHOOL,7,F,MV0100007,Islam,B
MV010,AMINIYA SCHOOL,8,M,MV0100008,Dhivehi,C
MV010,AMINIYA SCHOOL,8,M,MV0100008,Islam,D
MV010,AMINIYA SCHOOL,10,M,MV0100010,Dhivehi,A
MV010,AMINIYA SCHOOL,10,M,MV0100010,Islam,C
MV010,AMINIYA SCHOOL,11,M,MV0100011,Dhivehi,B
MV010,AMINIYA SCHOOL,11,M,MV0100011,Islam,D
MV010,AMINIYA SCHOOL,12,M,MV0100012,Dhivehi,C
MV010,AMINIYA SCHOOL,12,M,MV0100012,Islam,C
MV010,AMINIYA SCHOOL,13,M,MV0100013,Dhivehi,A
MV010,AMINIYA SCHOOL,13,M,MV0100013,Islam,A
MV010,AMINIYA SCHOOL,14,M,MV0100014,Dhivehi,B
MV010,AMINIYA SCHOOL,14,M,MV0100014,Islam,C
MV010,AMINIYA SCHOOL,15,M,MV0100015,Dhivehi,D
MV010,AMINIYA SCHOOL,15,M,MV0100015,Islam,D
MV010,AMINIYA SCHOOL,16,M,MV0100016,Dhivehi,D
MV010,AMINIYA SCHOOL,16,M,MV0100016,Islam,D
MV010,AMINIYA SCHOOL,17,M,MV0100017,Dhivehi,A
MV010,AMINIYA SCHOOL,17,M,MV0100017,Islam,B
MV010,AMINIYA SCHOOL,19,M,MV0100019,Dhivehi,B
MV010,AMINIYA SCHOOL,19,M,MV0100019,Islam,B
MV010,AMINIYA SCHOOL,20,M,MV0100020,Dhivehi,C
MV010,AMINIYA SCHOOL,20,M,MV0100020,Islam,C
MV010,AMINIYA SCHOOL,21,M,MV0100021,Dhivehi,A
MV010,AMINIYA SCHOOL,21,M,MV0100021,Islam,A
MV010,AMINIYA SCHOOL,22,M,MV0100022,Dhivehi,B
MV010,AMINIYA SCHOOL,22,M,MV0100022,Islam,B
MV010,AMINIYA SCHOOL,23,M,MV0100023,Dhivehi,D
MV010,AMINIYA SCHOOL,23,M,MV0100023,Islam,C
MV010,AMINIYA SCHOOL,24,M,MV0100024,Dhivehi,C
MV010,AMINIYA SCHOOL,24,M,MV0100024,Islam,C
MV010,AMINIYA SCHOOL,25,M,MV0100025,Dhivehi,E
MV010,AMINIYA SCHOOL,25,M,MV0100025,Islam,D
MV010,AMINIYA SCHOOL,26,M,MV0100026,Dhivehi,B
MV010,AMINIYA SCHOOL,26,M,MV0100026,Islam,A
MV010,AMINIYA SCHOOL,28,M,MV0100028,Dhivehi,D
MV010,AMINIYA SCHOOL,28,M,MV0100028,Islam,D
MV010,AMINIYA SCHOOL,29,M,MV0100029,Dhivehi,B
MV010,AMINIYA SCHOOL,29,M,MV0100029,Islam,A
MV010,AMINIYA SCHOOL,30,M,MV0100030,Dhivehi,C
MV010,AMINIYA SCHOOL,30,M,MV0100030,Islam,C
MV010,AMINIYA SCHOOL,31,F,MV0100031,Dhivehi,A
MV010,AMINIYA SCHOOL,31,F,MV0100031,Islam,B
MV010,AMINIYA SCHOOL,32,F,MV0100032,Dhivehi,C
MV010,AMINIYA SCHOOL,33,F,MV0100033,Dhivehi,B
MV010,AMINIYA SCHOOL,33,F,MV0100033,Islam,B
MV010,AMINIYA SCHOOL,34,F,MV0100034,Dhivehi,B
MV010,AMINIYA SCHOOL,34,F,MV0100034,Islam,B
MV010,AMINIYA SCHOOL,35,F,MV0100035,Dhivehi,B
MV010,AMINIYA SCHOOL,35,F,MV0100035,Islam,A
MV010,AMINIYA SCHOOL,36,F,MV0100036,Dhivehi,C
MV010,AMINIYA SCHOOL,36,F,MV0100036,Islam,C
MV010,AMINIYA SCHOOL,37,F,MV0100037,Dhivehi,B
MV010,AMINIYA SCHOOL,37,F,MV0100037,Islam,C
MV010,AMINIYA SCHOOL,38,F,MV0100038,Dhivehi,A
MV010,AMINIYA SCHOOL,38,F,MV0100038,Islam,B
MV010,AMINIYA SCHOOL,39,F,MV0100039,Dhivehi,C
MV010,AMINIYA SCHOOL,39,F,MV0100039,Islam,C
MV010,AMINIYA SCHOOL,40,F,MV0100040,Dhivehi,B
MV010,AMINIYA SCHOOL,40,F,MV0100040,Islam,A
MV010,AMINIYA SCHOOL,41,F,MV0100041,Dhivehi,C
MV010,AMINIYA SCHOOL,41,F,MV0100041,Islam,C
MV010,AMINIYA SCHOOL,42,F,MV0100042,Dhivehi,B
MV010,AMINIYA SCHOOL,42,F,MV0100042,Islam,C
MV010,AMINIYA SCHOOL,43,F,MV0100043,Dhivehi,B
MV010,AMINIYA SCHOOL,43,F,MV0100043,Islam,B
MV010,AMINIYA SCHOOL,44,F,MV0100044,Dhivehi,A
MV010,AMINIYA SCHOOL,44,F,MV0100044,Islam,B
MV010,AMINIYA SCHOOL,45,F,MV0100045,Dhivehi,A
MV010,AMINIYA SCHOOL,45,F,MV0100045,Islam,C
MV010,AMINIYA SCHOOL,46,F,MV0100046,Dhivehi,D
MV010,AMINIYA SCHOOL,47,F,MV0100047,Dhivehi,A
MV010,AMINIYA SCHOOL,47,F,MV0100047,Islam,A
MV010,AMINIYA SCHOOL,48,F,MV0100048,Dhivehi,C
MV010,AMINIYA SCHOOL,48,F,MV0100048,Islam,D
MV010,AMINIYA SCHOOL,49,F,MV0100049,Dhivehi,A
MV010,AMINIYA SCHOOL,49,F,MV0100049,Islam,B
MV010,AMINIYA SCHOOL,50,F,MV0100050,Dhivehi,E
MV010,AMINIYA SCHOOL,51,F,MV0100051,Dhivehi,D
MV010,AMINIYA SCHOOL,51,F,MV0100051,Islam,D
MV010,AMINIYA SCHOOL,52,F,MV0100052,Dhivehi,B
MV010,AMINIYA SCHOOL,52,F,MV0100052,Islam,A
MV010,AMINIYA SCHOOL,53,F,MV0100053,Dhivehi,C
MV010,AMINIYA SCHOOL,53,F,MV0100053,Islam,C
MV010,AMINIYA SCHOOL,54,F,MV0100054,Dhivehi,D
MV010,AMINIYA SCHOOL,54,F,MV0100054,Islam,D
MV010,AMINIYA SCHOOL,55,F,MV0100055,Dhivehi,B
MV010,AMINIYA SCHOOL,55,F,MV0100055,Islam,C
MV010,AMINIYA SCHOOL,56,M,MV0100056,Dhivehi,B
MV010,AMINIYA SCHOOL,56,M,MV0100056,Islam,B
MV010,AMINIYA SCHOOL,57,M,MV0100057,Dhivehi,C
MV010,AMINIYA SCHOOL,57,M,MV0100057,Islam,C
MV010,AMINIYA SCHOOL,58,M,MV0100058,Dhivehi,B
MV010,AMINIYA SCHOOL,58,M,MV0100058,Islam,B
MV010,AMINIYA SCHOOL,59,F,MV0100059,Dhivehi,C
MV010,AMINIYA SCHOOL,59,F,MV0100059,Islam,C
MV010,AMINIYA SCHOOL,60,F,MV0100060,Dhivehi,C
MV010,AMINIYA SCHOOL,61,F,MV0100061,Dhivehi,C
MV010,AMINIYA SCHOOL,61,F,MV0100061,Islam,C
MV010,AMINIYA SCHOOL,62,F,MV0100062,Dhivehi,C
MV010,AMINIYA SCHOOL,62,F,MV0100062,Islam,C
MV010,AMINIYA SCHOOL,63,F,MV0100063,Dhivehi,D
MV010,AMINIYA SCHOOL,63,F,MV0100063,Islam,E
MV010,AMINIYA SCHOOL,64,F,MV0100064,Dhivehi,B
MV010,AMINIYA SCHOOL,64,F,MV0100064,Islam,C
MV010,AMINIYA SCHOOL,65,F,MV0100065,Dhivehi,A
MV010,AMINIYA SCHOOL,65,F,MV0100065,Islam,B
MV010,AMINIYA SCHOOL,66,F,MV0100066,Dhivehi,A
MV010,AMINIYA SCHOOL,66,F,MV0100066,Islam,A
MV010,AMINIYA SCHOOL,67,F,MV0100067,Dhivehi,B
MV010,AMINIYA SCHOOL,67,F,MV0100067,Islam,B
MV010,AMINIYA SCHOOL,68,F,MV0100068,Dhivehi,C
MV010,AMINIYA SCHOOL,69,F,MV0100069,Dhivehi,C
MV010,AMINIYA SCHOOL,69,F,MV0100069,Islam,C
MV010,AMINIYA SCHOOL,70,F,MV0100070,Dhivehi,A
MV010,AMINIYA SCHOOL,70,F,MV0100070,Islam,B
MV010,AMINIYA SCHOOL,71,F,MV0100071,Dhivehi,C
MV010,AMINIYA SCHOOL,71,F,MV0100071,Islam,D
MV010,AMINIYA SCHOOL,72,F,MV0100072,Dhivehi,B
MV010,AMINIYA SCHOOL,72,F,MV0100072,Islam,A
MV010,AMINIYA SCHOOL,73,F,MV0100073,Dhivehi,C
MV010,AMINIYA SCHOOL,73,F,MV0100073,Islam,C
MV010,AMINIYA SCHOOL,74,F,MV0100074,Dhivehi,C
MV010,AMINIYA SCHOOL,74,F,MV0100074,Islam,C
MV010,AMINIYA SCHOOL,75,F,MV0100075,Dhivehi,D
MV010,AMINIYA SCHOOL,75,F,MV0100075,Islam,D
MV010,AMINIYA SCHOOL,76,F,MV0100076,Dhivehi,A
MV010,AMINIYA SCHOOL,76,F,MV0100076,Islam,A
MV010,AMINIYA SCHOOL,77,M,MV0100077,Dhivehi,A*
MV010,AMINIYA SCHOOL,77,M,MV0100077,Islam,A
MV010,AMINIYA SCHOOL,78,F,MV0100078,Dhivehi,B
MV010,AMINIYA SCHOOL,78,F,MV0100078,Islam,B
MV010,AMINIYA SCHOOL,79,F,MV0100079,Dhivehi,C
MV010,AMINIYA SCHOOL,79,F,MV0100079,Islam,C
MV010,AMINIYA SCHOOL,80,F,MV0100080,Dhivehi,D
MV010,AMINIYA SCHOOL,80,F,MV0100080,Islam,C
MV010,AMINIYA SCHOOL,81,M,MV0100081,Dhivehi,E
MV010,AMINIYA SCHOOL,81,M,MV0100081,Islam,E
MV010,AMINIYA SCHOOL,82,F,MV0100082,Dhivehi,B
MV010,AMINIYA SCHOOL,82,F,MV0100082,Islam,B
MV010,AMINIYA SCHOOL,83,M,MV0100083,Dhivehi,B
MV010,AMINIYA SCHOOL,83,M,MV0100083,Islam,B
MV010,AMINIYA SCHOOL,84,F,MV0100084,Dhivehi,A
MV010,AMINIYA SCHOOL,84,F,MV0100084,Islam,A
MV010,AMINIYA SCHOOL,85,F,MV0100085,Dhivehi,C
MV010,AMINIYA SCHOOL,85,F,MV0100085,Islam,B
MV010,AMINIYA SCHOOL,86,F,MV0100086,Dhivehi,A
MV010,AMINIYA SCHOOL,86,F,MV0100086,Islam,A
MV010,AMINIYA SCHOOL,87,F,MV0100087,Dhivehi,C
MV010,AMINIYA SCHOOL,87,F,MV0100087,Islam,C
MV010,AMINIYA SCHOOL,88,F,MV0100088,Dhivehi,A
MV010,AMINIYA SCHOOL,88,F,MV0100088,Islam,A
MV010,AMINIYA SCHOOL,89,F,MV0100089,Dhivehi,B
MV010,AMINIYA SCHOOL,89,F,MV0100089,Islam,A
MV010,AMINIYA SCHOOL,90,F,MV0100090,Dhivehi,B
MV010,AMINIYA SCHOOL,90,F,MV0100090,Islam,A
MV010,AMINIYA SCHOOL,91,F,MV0100091,Dhivehi,A
MV010,AMINIYA SCHOOL,91,F,MV0100091,Islam,B
MV010,AMINIYA SCHOOL,92,F,MV0100092,Dhivehi,B
MV010,AMINIYA SCHOOL,92,F,MV0100092,Islam,C
MV010,AMINIYA SCHOOL,93,F,MV0100093,Dhivehi,A*
MV010,AMINIYA SCHOOL,93,F,MV0100093,Islam,A
MV010,AMINIYA SCHOOL,94,F,MV0100094,Dhivehi,D
MV010,AMINIYA SCHOOL,95,F,MV0100095,Dhivehi,B
MV010,AMINIYA SCHOOL,95,F,MV0100095,Islam,C
MV010,AMINIYA SCHOOL,96,F,MV0100096,Dhivehi,C
MV010,AMINIYA SCHOOL,96,F,MV0100096,Islam,C
MV010,AMINIYA SCHOOL,97,F,MV0100097,Dhivehi,D
MV010,AMINIYA SCHOOL,97,F,MV0100097,Islam,D
MV010,AMINIYA SCHOOL,98,F,MV0100098,Dhivehi,A*
MV010,AMINIYA SCHOOL,98,F,MV0100098,Islam,A*
MV010,AMINIYA SCHOOL,99,F,MV0100099,Dhivehi,A
MV010,AMINIYA SCHOOL,99,F,MV0100099,Islam,A
MV010,AMINIYA SCHOOL,100,F,MV0100100,Dhivehi,A
MV010,AMINIYA SCHOOL,100,F,MV0100100,Islam,A
MV010,AMINIYA SCHOOL,101,F,MV0100101,Dhivehi,B
MV010,AMINIYA SCHOOL,101,F,MV0100101,Islam,C
MV010,AMINIYA SCHOOL,102,F,MV0100102,Dhivehi,D
MV010,AMINIYA SCHOOL,102,F,MV0100102,Islam,D
MV010,AMINIYA SCHOOL,103,F,MV0100103,Dhivehi,C
MV010,AMINIYA SCHOOL,103,F,MV0100103,Islam,B
MV010,AMINIYA SCHOOL,104,M,MV0100104,Dhivehi,A
MV010,AMINIYA SCHOOL,104,M,MV0100104,Islam,C
MV010,AMINIYA SCHOOL,105,F,MV0100105,Dhivehi,B
MV010,AMINIYA SCHOOL,105,F,MV0100105,Islam,B
MV010,AMINIYA SCHOOL,106,F,MV0100106,Dhivehi,A
MV010,AMINIYA SCHOOL,106,F,MV0100106,Islam,B
MV010,AMINIYA SCHOOL,107,M,MV0100107,Islam,D
MV010,AMINIYA SCHOOL,108,F,MV0100108,Dhivehi,A
MV010,AMINIYA SCHOOL,108,F,MV0100108,Islam,C
MV010,AMINIYA SCHOOL,109,F,MV0100109,Dhivehi,A
MV010,AMINIYA SCHOOL,109,F,MV0100109,Islam,B
MV010,AMINIYA SCHOOL,110,F,MV0100110,Dhivehi,A
MV010,AMINIYA SCHOOL,110,F,MV0100110,Islam,C
MV010,AMINIYA SCHOOL,111,M,MV0100111,Dhivehi,A*
MV010,AMINIYA SCHOOL,111,M,MV0100111,Islam,A*
MV010,AMINIYA SCHOOL,112,M,MV0100112,Dhivehi,B
MV010,AMINIYA SCHOOL,112,M,MV0100112,Islam,B
MV010,AMINIYA SCHOOL,113,M,MV0100113,Dhivehi,A
MV010,AMINIYA SCHOOL,113,M,MV0100113,Islam,B
MV010,AMINIYA SCHOOL,114,M,MV0100114,Dhivehi,D
MV010,AMINIYA SCHOOL,114,M,MV0100114,Islam,C
MV010,AMINIYA SCHOOL,115,M,MV0100115,Dhivehi,A
MV010,AMINIYA SCHOOL,115,M,MV0100115,Islam,B
MV010,AMINIYA SCHOOL,116,M,MV0100116,Dhivehi,B
MV010,AMINIYA SCHOOL,116,M,MV0100116,Islam,C
MV010,AMINIYA SCHOOL,117,M,MV0100117,Dhivehi,A
MV010,AMINIYA SCHOOL,117,M,MV0100117,Islam,A*
MV010,AMINIYA SCHOOL,118,M,MV0100118,Dhivehi,B
MV010,AMINIYA SCHOOL,118,M,MV0100118,Islam,B
MV010,AMINIYA SCHOOL,119,F,MV0100119,Dhivehi,B
MV010,AMINIYA SCHOOL,119,F,MV0100119,Islam,C
MV010,AMINIYA SCHOOL,120,M,MV0100120,Dhivehi,C
MV010,AMINIYA SCHOOL,120,M,MV0100120,Islam,C
MV010,AMINIYA SCHOOL,121,M,MV0100121,Dhivehi,C
MV010,AMINIYA SCHOOL,121,M,MV0100121,Islam,C
MV010,AMINIYA SCHOOL,122,M,MV0100122,Dhivehi,A
MV010,AMINIYA SCHOOL,122,M,MV0100122,Islam,B
MV010,AMINIYA SCHOOL,123,M,MV0100123,Dhivehi,C
MV010,AMINIYA SCHOOL,123,M,MV0100123,Islam,C
MV010,AMINIYA SCHOOL,124,F,MV0100124,Dhivehi,B
MV010,AMINIYA SCHOOL,124,F,MV0100124,Islam,C
MV010,AMINIYA SCHOOL,125,F,MV0100125,Dhivehi,C
MV010,AMINIYA SCHOOL,125,F,MV0100125,Islam,C
MV010,AMINIYA SCHOOL,126,M,MV0100126,Dhivehi,A
MV010,AMINIYA SCHOOL,126,M,MV0100126,Islam,A
MV010,AMINIYA SCHOOL,128,F,MV0100128,Dhivehi,B
MV010,AMINIYA SCHOOL,128,F,MV0100128,Islam,C
MV010,AMINIYA SCHOOL,129,M,MV0100129,Dhivehi,X
MV010,AMINIYA SCHOOL,131,M,MV0100131,Dhivehi,D
MV010,AMINIYA SCHOOL,131,M,MV0100131,Islam,E
MV010,AMINIYA SCHOOL,132,M,MV0100132,Dhivehi,D
MV010,AMINIYA SCHOOL,132,M,MV0100132,Islam,C
MV010,AMINIYA SCHOOL,133,M,MV0100133,Dhivehi,C
MV010,AMINIYA SCHOOL,133,M,MV0100133,Islam,D
MV010,AMINIYA SCHOOL,134,M,MV0100134,Dhivehi,C
MV010,AMINIYA SCHOOL,134,M,MV0100134,Islam,B
MV010,AMINIYA SCHOOL,135,M,MV0100135,Dhivehi,C
MV010,AMINIYA SCHOOL,135,M,MV0100135,Islam,C
MV010,AMINIYA SCHOOL,136,M,MV0100136,Dhivehi,A
MV010,AMINIYA SCHOOL,136,M,MV0100136,Islam,A
MV010,AMINIYA SCHOOL,137,M,MV0100137,Dhivehi,C
MV010,AMINIYA SCHOOL,137,M,MV0100137,Islam,C
MV010,AMINIYA SCHOOL,138,M,MV0100138,Dhivehi,D
MV010,AMINIYA SCHOOL,138,M,MV0100138,Islam,D
MV010,AMINIYA SCHOOL,139,F,MV0100139,Dhivehi,B
MV010,AMINIYA SCHOOL,139,F,MV0100139,Islam,A
MV010,AMINIYA SCHOOL,140,F,MV0100140,Dhivehi,B
MV010,AMINIYA SCHOOL,140,F,MV0100140,Islam,B
MV010,AMINIYA SCHOOL,141,F,MV0100141,Dhivehi,A
MV010,AMINIYA SCHOOL,141,F,MV0100141,Islam,A
MV010,AMINIYA SCHOOL,142,F,MV0100142,Dhivehi,D
MV010,AMINIYA SCHOOL,143,F,MV0100143,Dhivehi,A*
MV010,AMINIYA SCHOOL,143,F,MV0100143,Islam,A*
MV010,AMINIYA SCHOOL,144,F,MV0100144,Dhivehi,A
MV010,AMINIYA SCHOOL,144,F,MV0100144,Islam,A
MV010,AMINIYA SCHOOL,145,F,MV0100145,Dhivehi,C
MV010,AMINIYA SCHOOL,145,F,MV0100145,Islam,A
MV010,AMINIYA SCHOOL,146,F,MV0100146,Dhivehi,C
MV010,AMINIYA SCHOOL,146,F,MV0100146,Islam,B
MV010,AMINIYA SCHOOL,147,F,MV0100147,Dhivehi,C
MV010,AMINIYA SCHOOL,147,F,MV0100147,Islam,B
MV010,AMINIYA SCHOOL,148,F,MV0100148,Dhivehi,B
MV010,AMINIYA SCHOOL,148,F,MV0100148,Islam,B
MV010,AMINIYA SCHOOL,149,F,MV0100149,Dhivehi,X
MV010,AMINIYA SCHOOL,149,F,MV0100149,Islam,X
MV010,AMINIYA SCHOOL,150,F,MV0100150,Dhivehi,A
MV010,AMINIYA SCHOOL,150,F,MV0100150,Islam,B
MV010,AMINIYA SCHOOL,151,F,MV0100151,Dhivehi,A
MV010,AMINIYA SCHOOL,151,F,MV0100151,Islam,A
MV010,AMINIYA SCHOOL,152,F,MV0100152,Dhivehi,C
MV010,AMINIYA SCHOOL,152,F,MV0100152,Islam,C
MV010,AMINIYA SCHOOL,153,F,MV0100153,Dhivehi,C
MV010,AMINIYA SCHOOL,153,F,MV0100153,Islam,B
MV010,AMINIYA SCHOOL,154,F,MV0100154,Dhivehi,B
MV010,AMINIYA SCHOOL,154,F,MV0100154,Islam,C
MV010,AMINIYA SCHOOL,155,M,MV0100155,Dhivehi,D
MV010,AMINIYA SCHOOL,155,M,MV0100155,Islam,C
MV010,AMINIYA SCHOOL,156,M,MV0100156,Dhivehi,E
MV010,AMINIYA SCHOOL,156,M,MV0100156,Islam,E
MV010,AMINIYA SCHOOL,157,M,MV0100157,Dhivehi,D
MV010,AMINIYA SCHOOL,157,M,MV0100157,Islam,C
MV010,AMINIYA SCHOOL,158,F,MV0100158,Dhivehi,B
MV010,AMINIYA SCHOOL,158,F,MV0100158,Islam,B
MV010,AMINIYA SCHOOL,159,F,MV0100159,Dhivehi,C
MV010,AMINIYA SCHOOL,159,F,MV0100159,Islam,C
MV010,AMINIYA SCHOOL,160,M,MV0100160,Dhivehi,C
MV010,AMINIYA SCHOOL,160,M,MV0100160,Islam,A
MV010,AMINIYA SCHOOL,161,M,MV0100161,Dhivehi,B
MV010,AMINIYA SCHOOL,161,M,MV0100161,Islam,B
MV010,AMINIYA SCHOOL,162,M,MV0100162,Dhivehi,D
MV010,AMINIYA SCHOOL,162,M,MV0100162,Islam,C
MV010,AMINIYA SCHOOL,163,M,MV0100163,Dhivehi,E
MV010,AMINIYA SCHOOL,163,M,MV0100163,Islam,C
MV010,AMINIYA SCHOOL,164,M,MV0100164,Dhivehi,U
MV010,AMINIYA SCHOOL,164,M,MV0100164,Islam,E
MV010,AMINIYA SCHOOL,165,M,MV0100165,Dhivehi,U
MV010,AMINIYA SCHOOL,165,M,MV0100165,Islam,E
MV010,AMINIYA SCHOOL,166,M,MV0100166,Dhivehi,D
MV010,AMINIYA SCHOOL,166,M,MV0100166,Islam,B
MV010,AMINIYA SCHOOL,167,M,MV0100167,Dhivehi,D
MV010,AMINIYA SCHOOL,167,M,MV0100167,Islam,C
MV010,AMINIYA SCHOOL,168,M,MV0100168,Dhivehi,B
MV010,AMINIYA SCHOOL,168,M,MV0100168,Islam,C
MV010,AMINIYA SCHOOL,169,M,MV0100169,Dhivehi,D
MV010,AMINIYA SCHOOL,169,M,MV0100169,Islam,D
MV010,AMINIYA SCHOOL,170,M,MV0100170,Dhivehi,C
MV010,AMINIYA SCHOOL,170,M,MV0100170,Islam,A
MV010,AMINIYA SCHOOL,171,M,MV0100171,Dhivehi,D
MV010,AMINIYA SCHOOL,171,M,MV0100171,Islam,D
MV010,AMINIYA SCHOOL,172,M,MV0100172,Dhivehi,E
MV010,AMINIYA SCHOOL,172,M,MV0100172,Islam,D
MV010,AMINIYA SCHOOL,173,M,MV0100173,Dhivehi,B
MV010,AMINIYA SCHOOL,173,M,MV0100173,Islam,B
MV010,AMINIYA SCHOOL,174,M,MV0100174,Dhivehi,B
MV010,AMINIYA SCHOOL,174,M,MV0100174,Islam,C
MV010,AMINIYA SCHOOL,175,M,MV0100175,Dhivehi,B
MV010,AMINIYA SCHOOL,175,M,MV0100175,Islam,B
MV010,AMINIYA SCHOOL,176,M,MV0100176,Dhivehi,D
MV010,AMINIYA SCHOOL,176,M,MV0100176,Islam,C
MV010,AMINIYA SCHOOL,177,M,MV0100177,Dhivehi,C
MV010,AMINIYA SCHOOL,177,M,MV0100177,Islam,C
MV010,AMINIYA SCHOOL,178,M,MV0100178,Dhivehi,D
MV010,AMINIYA SCHOOL,178,M,MV0100178,Islam,C
MV010,AMINIYA SCHOOL,179,M,MV0100179,Dhivehi,A
MV010,AMINIYA SCHOOL,179,M,MV0100179,Islam,A
MV010,AMINIYA SCHOOL,180,M,MV0100180,Dhivehi,B
MV010,AMINIYA SCHOOL,180,M,MV0100180,Islam,B
MV010,AMINIYA SCHOOL,181,M,MV0100181,Dhivehi,B
MV010,AMINIYA SCHOOL,181,M,MV0100181,Islam,C
MV010,AMINIYA SCHOOL,182,M,MV0100182,Dhivehi,C
MV010,AMINIYA SCHOOL,182,M,MV0100182,Islam,B
MV010,AMINIYA SCHOOL,183,M,MV0100183,Dhivehi,B
MV010,AMINIYA SCHOOL,183,M,MV0100183,Islam,A
MV010,AMINIYA SCHOOL,184,M,MV0100184,Dhivehi,E
MV010,AMINIYA SCHOOL,185,M,MV0100185,Dhivehi,E
MV010,AMINIYA SCHOOL,186,M,MV0100186,Dhivehi,A
MV010,AMINIYA SCHOOL,186,M,MV0100186,Islam,B
MV010,AMINIYA SCHOOL,187,M,MV0100187,Dhivehi,A
MV010,AMINIYA SCHOOL,187,M,MV0100187,Islam,A
MV010,AMINIYA SCHOOL,188,M,MV0100188,Islam,E
MV010,AMINIYA SCHOOL,189,M,MV0100189,Dhivehi,C
MV010,AMINIYA SCHOOL,189,M,MV0100189,Islam,C
MV010,AMINIYA SCHOOL,190,F,MV0100190,Dhivehi,B
MV010,AMINIYA SCHOOL,190,F,MV0100190,Islam,C
MV010,AMINIYA SCHOOL,191,F,MV0100191,Dhivehi,A*
MV010,AMINIYA SCHOOL,191,F,MV0100191,Islam,A
MV010,AMINIYA SCHOOL,192,M,MV0100192,Dhivehi,C
MV010,AMINIYA SCHOOL,192,M,MV0100192,Islam,B
MV010,AMINIYA SCHOOL,193,M,MV0100193,Dhivehi,D
MV010,AMINIYA SCHOOL,193,M,MV0100193,Islam,E
MV010,AMINIYA SCHOOL,194,F,MV0100194,Dhivehi,C
MV010,AMINIYA SCHOOL,194,F,MV0100194,Islam,C
MV010,AMINIYA SCHOOL,195,F,MV0100195,Dhivehi,A
MV010,AMINIYA SCHOOL,195,F,MV0100195,Islam,A*
MV010,AMINIYA SCHOOL,196,F,MV0100196,Dhivehi,C
MV010,AMINIYA SCHOOL,196,F,MV0100196,Islam,C
MV010,AMINIYA SCHOOL,197,M,MV0100197,Dhivehi,B
MV010,AMINIYA SCHOOL,197,M,MV0100197,Islam,C
MV010,AMINIYA SCHOOL,198,F,MV0100198,Dhivehi,A
MV010,AMINIYA SCHOOL,198,F,MV0100198,Islam,B
MV010,AMINIYA SCHOOL,199,F,MV0100199,Dhivehi,A
MV010,AMINIYA SCHOOL,199,F,MV0100199,Islam,C
MV010,AMINIYA SCHOOL,200,M,MV0100200,Dhivehi,A
MV010,AMINIYA SCHOOL,200,M,MV0100200,Islam,A
MV010,AMINIYA SCHOOL,201,F,MV0100201,Dhivehi,D
MV010,AMINIYA SCHOOL,201,F,MV0100201,Islam,E
MV010,AMINIYA SCHOOL,202,F,MV0100202,Dhivehi,A
MV010,AMINIYA SCHOOL,202,F,MV0100202,Islam,B
MV010,AMINIYA SCHOOL,203,F,MV0100203,Dhivehi,B
MV010,AMINIYA SCHOOL,203,F,MV0100203,Islam,A
MV010,AMINIYA SCHOOL,205,M,MV0100205,Islam,E
MV010,AMINIYA SCHOOL,206,F,MV0100206,Dhivehi,B
MV010,AMINIYA SCHOOL,206,F,MV0100206,Islam,B
MV010,AMINIYA SCHOOL,207,F,MV0100207,Dhivehi,C
MV010,AMINIYA SCHOOL,207,F,MV0100207,Islam,B
MV010,AMINIYA SCHOOL,208,F,MV0100208,Dhivehi,A
MV010,AMINIYA SCHOOL,208,F,MV0100208,Islam,A
MV010,AMINIYA SCHOOL,209,F,MV0100209,Dhivehi,B
MV010,AMINIYA SCHOOL,209,F,MV0100209,Islam,C
MV010,AMINIYA SCHOOL,210,M,MV0100210,Dhivehi,C
MV010,AMINIYA SCHOOL,210,M,MV0100210,Islam,B
MV010,AMINIYA SCHOOL,211,M,MV0100211,Dhivehi,B
MV010,AMINIYA SCHOOL,211,M,MV0100211,Islam,C
MV010,AMINIYA SCHOOL,212,M,MV0100212,Dhivehi,C
MV010,AMINIYA SCHOOL,212,M,MV0100212,Islam,C
MV010,AMINIYA SCHOOL,213,F,MV0100213,Dhivehi,X
MV010,AMINIYA SCHOOL,213,F,MV0100213,Islam,X
MV010,AMINIYA SCHOOL,214,M,MV0100214,Dhivehi,D
MV010,AMINIYA SCHOOL,214,M,MV0100214,Islam,E
MV010,AMINIYA SCHOOL,215,M,MV0100215,Dhivehi,C
MV010,AMINIYA SCHOOL,216,M,MV0100216,Dhivehi,C
MV010,AMINIYA SCHOOL,216,M,MV0100216,Islam,C
MV010,AMINIYA SCHOOL,218,M,MV0100218,Dhivehi,C
MV010,AMINIYA SCHOOL,218,M,MV0100218,Islam,D
